"Console","GameName","Review","Score"
"X360","Warhammer 40,000: Kill Team Review","Very Good","6"
"PS3","NCAA Football 12 Review","Great","7"
"X360","NCAA Football 12 Review","Great","7"
"PS3","Harry Potter and the Deathly Hallows, Part 2 Review","Fair","4"
"WII","Harry Potter and the Deathly Hallows, Part 2 Review","Fair","4"
"X360","Ms. 'Splosion Man Review","Super","8"
"PS3","Akimi Village Review","Very Good","6"
"DS","Solatorobo Review","Great","7"
"PC","Harry Potter and the Deathly Hallows, Part 2 Review","Fair","4"
"X360","MLB Bobblehead Pros Review","Good","5"
"N64","F-Zero X Review","Great","7"
"X360","Harry Potter and the Deathly Hallows, Part 2 Review","Fair","4"
"PC","Storm: Frontline Nation Review","Great","7"
"X360","Dead Block Review","Fair","4"
"PS3","Earth Defense Force: Insect Armageddon Review","Great","7"
"X360","Earth Defense Force: Insect Armageddon Review","Great","7"
"X360","Deadliest Warrior: Legends Review","Fair","4"
"PC","Gods & Heroes: Rome Rising Review","Good","5"
"X360","Lucha Fury Review","Bad","3"
"PS3","Gatling Gears Review","Great","7"
"3DS","Resident Evil: The Mercenaries 3D Review","Very Good","6"
"PS3","White Knight Chronicles II Review","Very Good","6"
"X360","Half-Minute Hero: Super Mega Neo Climax Review","Great","7"
"PS3","Arcana Heart 3 Review","Great","7"
"PC","Puzzle Agent 2 Review","Very Good","6"
"X360","The Adventures of Shuggy Review","Super","8"
"X360","Galaga Legions DX Review","Super","8"
"PS3","Super Street Fighter IV Arcade Edition Review","Great","7"
"X360","Super Street Fighter IV Arcade Edition Review","Great","7"
"WII","The Malgrave Incident Review","Great","7"
"X360","Backbreaker: Vengeance Review","Very Good","6"
"X360","Cars 2 Review","Great","7"
"PS3","Cars 2 Review","Great","7"
"3DS","Cubic Ninja Review","Good","5"
"PC","Jamestown: Legend of the Lost Colony Review","Super","8"
"WII","Transformers: Dark of the Moon - Stealth Force Edition Review","Bad","3"
"3DS","Transformers: Dark of the Moon - Stealth Force Edition Review","Bad","3"
"PC","Magic: the Gathering Duels of the Planeswalkers 2012 Review","Great","7"
"X360","Magic: the Gathering Duels of the Planeswalkers 2012 Review","Very Good","6"
"PS3","Magic: the Gathering Duels of the Planeswalkers 2012 Review","Very Good","6"
"X360","The First Templar Review","Great","7"
"PC","The Sims 3: Generations Review","Very Good","6"
"PS3","Outland Review","Excellent","9"
"PC","F.E.A.R. 3 Review","Great","7"
"PS3","F.E.A.R. 3 Review","Great","7"
"PC","Gemini Rue Review","Great","7"
"X360","Trenched Review","Super","8"
"X360","F.E.A.R. 3 Review","Great","7"
"PS3","Shadows of the Damned Review","Super","8"
"X360","Shadows of the Damned Review","Super","8"
"PC","Dungeon Siege III Review","Very Good","6"
"X360","Dungeon Siege III Review","Very Good","6"
"PS3","Dungeon Siege III Review","Very Good","6"
"WII","Wii Play: Motion Review","Good","5"
"3DS","The Legend of Zelda: Ocarina of Time 3D Review","Super","8"
"X360","Green Lantern: Rise of the Manhunters Review","Very Good","6"
"PS3","Duke Nukem Forever Review","Bad","3"
"PS3","Transformers: Dark of the Moon Review","Good","5"
"X360","Transformers: Dark of the Moon Review","Good","5"
"PS3","Wizardry: Labyrinth of Lost Souls Review","Great","7"
"PS3","Fallout: New Vegas - Honest Hearts Review","Great","7"
"X360","Duke Nukem Forever Review","Bad","3"
"PC","Duke Nukem Forever Review","Bad","3"
"PS3","Under Siege Review","Great","7"
"PS3","Red Johnson's Chronicles Review","Very Good","6"
"PC","Alice: Madness Returns Review","Great","7"
"X360","Child of Eden Review","Super","8"
"X360","Alice: Madness Returns Review","Great","7"
"PS3","Alice: Madness Returns Review","Great","7"
"PS3","Hunted: The Demon's Forge Review","Good","5"
"PS3","Infamous 2 Review","Great","7"
"X360","Hunted: The Demon's Forge Review","Good","5"
"PC","Hunted: The Demon's Forge Review","Fair","4"
"PS3","Dirt 3 Review","Excellent","9"
"3DS","Cartoon Network: Punch Time Explosion Review","Good","5"
"PS3","Red Faction: Armageddon Review","Super","8"
"X360","Red Faction: Armageddon Review","Super","8"
"PC","DiRT 3 Review","Excellent","9"
"X360","Dungeons & Dragons: Daggerdale Review","Fair","4"
"PC","Fallout: New Vegas - Honest Hearts Review","Great","7"
"PC","Lego Pirates of the Caribbean: The Video Game Review","Very Good","6"
"X360","Fallout: New Vegas - Honest Hearts Review","Great","7"
"WII","NASCAR 2011: The Game Review","Fair","4"
"X360","Kung Fu Panda 2: The Video Game Review","Bad","3"
"PC","Faery: Legends of Avalon Review","Fair","4"
"3DS","Dead or Alive: Dimensions Review","Great","7"
"PC","The Witcher 2: Assassins of Kings Review","Excellent","9"
"X360","DiRT 3 Review","Excellent","9"
"PS3","AFL Live Review","Very Good","6"
"PC","Fable III Review","Great","7"
"X360","Sega Rally Online Arcade Review","Great","7"
"PC","The First Templar Review","Great","7"
"3DS","Dream Trigger 3D Review","Very Good","6"
"X360","Star Raiders Review","Bad","3"
"PS3","Virtua Tennis 4 Review","Good","5"
"X360","Virtua Tennis 4 Review","Good","5"
"PS3","MX vs. ATV Alive Review","Very Good","6"
"X360","MX vs. ATV Alive Review","Very Good","6"
"PS3","Brink Review","Very Good","6"
"PS3","L.A. Noire Review","Excellent","9"
"X360","L.A. Noire Review","Excellent","9"
"X360","AFL Live Review","Very Good","6"
"PC","Hydrophobia Prophecy Review","Great","7"
"PC","Mount & Blade: With Fire & Sword Review","Great","7"
"PSP","The Legend of Heroes: Trails in the Sky Review","Super","8"
"WII","Thor: God of Thunder Review","Good","5"
"X360","Gatling Gears Review","Great","7"
"PC","Garshasp: The Monster Slayer Review","Good","5"
"X360","Hydrophobia Review","Very Good","6"
"PC","Brink Review","Very Good","6"
"3DS","LEGO Pirates of the Caribbean: The Video Game Review","Very Good","6"
"PS3","Back to the Future: The Game - Episode 1: It's About Time Review","Great","7"
"X360","SBK 2011 Review","Super","8"
"PSP","Lego Pirates of the Caribbean: The Video Game Review","Very Good","6"
"DS","Lego Pirates of the Caribbean: The Video Game Review","Very Good","6"
"X360","Brink Review","Very Good","6"
"PS3","Lego Pirates of the Caribbean: The Video Game Review","Very Good","6"
"X360","Lego Pirates of the Caribbean: The Video Game Review","Very Good","6"
"WII","Lego Pirates of the Caribbean: The Video Game Review","Very Good","6"
"X360","Bangai-O HD: Missile Fury Review","Great","7"
"PS3","Thor: God of Thunder Review","Very Bad","2"
"X360","Thor: God of Thunder Review","Very Bad","2"
"PC","Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists Review","Super","8"
"DS","Thor: God of Thunder Review","Good","5"
"PC","Black Mirror III Review","Good","5"
"PC","Sanctum Review","Great","7"
"X360","Operation Flashpoint: Red River Review","Very Good","6"
"PS3","Operation Flashpoint: Red River Review","Very Good","6"
"PC","Operation Flashpoint: Red River Review","Very Good","6"
"PC","Capsized Review","Super","8"
"PC","Section 8: Prejudice Review","Great","7"
"PC","Your Doodles Are Bugged Review","Great","7"
"PC","Men of War: Assault Squad Review","Super","8"
"PC","Darkspore Review","Great","7"
"X360","Nin2-Jump Review","Great","7"
"AND","Gem Miner: Dig Deeper Review","Great","7"
"AND","Doodle Jump for Android Review","Super","8"
"IOS","Cut the Rope Review","Super","8"
"IOS","Chaos Rings Review","Excellent","9"
"IOS","Angry Birds Review","Excellent","9"
"X360","Outland Review","Excellent","9"
"PSP","Final Fantasy IV: The Complete Collection Review","Super","8"
"PC","Cargo: The Quest for Gravity Review","Good","5"
"3DS","Rabbids Travel in Time 3D Review","Very Good","6"
"X360","The Fancy Pants Adventures Review","Great","7"
"WII","Conduit 2 Review","Great","7"
"X360","Yar's Revenge Review","Good","5"
"PC","The Next Big Thing Review","Very Good","6"
"3DS","Combat of Giants: Dinosaurs 3D Review","Fair","4"
"PS3","Dungeon Hunter: Alliance Review","Great","7"
"X360","WSC Real 11: World Snooker Championship Review","Great","7"
"PS3","WSC Real 11: World Snooker Championship Review","Great","7"
"PS3","Michael Jackson: The Experience Review","Great","7"
"X360","Section 8: Prejudice Review","Great","7"
"X360","Mortal Kombat Review","Super","8"
"PS3","Mortal Kombat Review","Super","8"
"PC","Portal 2 Review","Excellent","9"
"PS3","Portal 2 Review","Excellent","9"
"X360","Portal 2 Review","Excellent","9"
"PC","Magicka: Vietnam Review","Good","5"
"PC","Anomaly: Warzone Earth Review","Super","8"
"PSP","Patapon 3 Review","Super","8"
"PC","IL-2 Sturmovik: Cliffs of Dover Review","Fair","4"
"PS3","Stardrone Review","Very Good","6"
"X360","Rio Review","Very Good","6"
"X360","Might & Magic: Clash of Heroes Review","Super","8"
"PS3","Might & Magic: Clash of Heroes Review","Super","8"
"PS3","SOCOM 4: U.S. Navy SEALs Review","Great","7"
"X360","Michael Jackson: The Experience Review","Very Good","6"
"PC","The Sims Medieval Review","Very Good","6"
"PS3","Red Faction: Battlegrounds Review","Good","5"
"PC","Shadow Harvest: Phantom Ops Review","Very Bad","2"
"PS3","Stacking: The Lost Hobo King Review","Very Good","6"
"X360","Stacking: The Lost Hobo King Review","Very Good","6"
"PS3","Moon Diver Review","Very Good","6"
"X360","Strania Review","Very Good","6"
"3DS","Madden NFL Football Review","Fair","4"
"X360","Islands of Wakfu Review","Good","5"
"X360","The Dishwasher: Vampire Smile Review","Excellent","9"
"PS3","PlayStation Move Heroes Review","Fair","4"
"3DS","Ridge Racer 3D Review","Great","7"
"WII","Tiger Woods PGA Tour 12: The Masters Review","Super","8"
"DS","Monster Tale Review","Super","8"
"3DS","Rayman 3D Review","Great","7"
"X360","NASCAR 2011: The Game Review","Very Good","6"
"PS3","NASCAR 2011: The Game Review","Very Good","6"
"WII","WWE All Stars Review","Very Good","6"
"X360","WWE All Stars Review","Great","7"
"PS3","WWE All Stars Review","Great","7"
"3DS","Samurai Warriors Chronicles Review","Fair","4"
"PS3","Tiger Woods PGA Tour 12: The Masters Review","Super","8"
"X360","Tiger Woods PGA Tour 12: The Masters Review","Super","8"
"PS3","Shift 2: Unleashed Review","Great","7"
"X360","Shift 2: Unleashed Review","Great","7"
"X360","Lego Star Wars III: The Clone Wars Review","Very Good","6"
"PS3","Lego Star Wars III: The Clone Wars Review","Very Good","6"
"WII","Lego Star Wars III: The Clone Wars Review","Very Good","6"
"PC","Lego Star Wars III: The Clone Wars Review","Very Good","6"
"PS3","Swarm Review","Great","7"
"PC","Mass Effect 2: Arrival Review","Good","5"
"X360","Swarm Review","Great","7"
"X360","Mass Effect 2: Arrival Review","Good","5"
"3DS","The Sims 3 Review","Good","5"
"3DS","Bust-A-Move Universe Review","Good","5"
"X360","Ghostbusters: Sanctum of Slime Review","Fair","4"
"PS3","Ghostbusters: Sanctum of Slime Review","Good","5"
"PC","Ghostbusters: Sanctum of Slime Review","Fair","4"
"3DS","Asphalt 3D Review","Good","5"
"PC","Assassin's Creed: Brotherhood Review","Super","8"
"PC","Post Apocalyptic Mayhem Review","Bad","3"
"PSP","MLB 11: The Show Review","Great","7"
"PS3","Hard Corps: Uprising Review","Great","7"
"PS3","MotorStorm: Apocalypse Review","Super","8"
"3DS","Tom Clancy's Ghost Recon: Shadow Wars Review","Super","8"
"3DS","Nintendogs + Cats: Toy Poodle & New Friends Review","Great","7"
"3DS","Nintendogs + Cats: Golden Retriever and New Friends Review","Great","7"
"3DS","Nintendogs + Cats: French Bulldog and New Friends Review","Great","7"
"PSP","TNT Racers Review","Great","7"
"3DS","Pro Evolution Soccer 2011 3D Review","Great","7"
"3DS","Super Street Fighter IV: 3D Edition Review","Super","8"
"3DS","Super Monkey Ball 3D Review","Good","5"
"3DS","Lego Star Wars III: Attack of the Clones Review","Very Good","6"
"3DS","Splinter Cell 3D Review","Good","5"
"3DS","Steel Diver Review","Fair","4"
"3DS","Pilotwings Resort Review","Very Good","6"
"PSP","The 3rd Birthday Review","Very Good","6"
"PS3","Crysis 2 Review","Super","8"
"PS3","Slam Bolt Scrappers Review","Very Good","6"
"PC","Crysis 2 Review","Super","8"
"PS3","Top Spin 4 Review","Excellent","9"
"X360","Top Spin 4 Review","Excellent","9"
"WII","Top Spin 4 Review","Fair","4"
"PC","Rift Review","Super","8"
"X360","Crysis 2 Review","Super","8"
"PS3","Yakuza 4 Review","Super","8"
"X360","Battle: Los Angeles Review","Bad","3"
"WII","Major League Baseball 2K11 Review","Fair","4"
"PS3","MotoGP 10/11 Review","Very Good","6"
"X360","MotoGP 10/11 Review","Very Good","6"
"PC","Shogun 2: Total War Review","Excellent","9"
"X360","Major League Baseball 2K11 Review","Great","7"
"PS3","Major League Baseball 2K11 Review","Great","7"
"X360","Homefront Review","Great","7"
"PS3","Homefront Review","Great","7"
"PC","Homefront Review","Great","7"
"PS3","MLB 11: The Show Review","Super","8"
"WII","Trackmania: Build to Race Review","Great","7"
"DS","Okamiden Review","Great","7"
"PSP","Dissidia 012: Duodecim Final Fantasy Review","Super","8"
"X360","Full House Poker Review","Great","7"
"DS","Dragon Quest VI: Realms of Revelation Review","Great","7"
"PC","Back to the Future: The Game - Episode II: Get Tannen! Review","Great","7"
"PC","Dragon Age II Review","Super","8"
"X360","Dragon Age II Review","Super","8"
"PS3","Dragon Age II Review","Super","8"
"PC","Warhammer 40,000: Dawn of War II - Retribution Review","Super","8"
"X360","Fable III: Traitor's Keep Quest Pack Review","Great","7"
"X360","Torchlight Review","Super","8"
"DS","Pokemon Black Review","Great","7"
"DS","Pokemon White Review","Great","7"
"X360","Rango: The Video Game Review","Great","7"
"PS3","Rango: The Video Game Review","Great","7"
"X360","Dead Space 2: Severed Review","Great","7"
"PS3","Dead Space 2: Severed Review","Great","7"
"PC","Cities in Motion Review","Great","7"
"PS3","Acceleration of Suguri X Edition Review","Great","7"
"PS3","Fight Night Round 4 Review","Super","8"
"PS3","PixelJunk Shooter 2 Review","Great","7"
"PS3","Hyperdimension Neptunia Review","Bad","3"
"PS3","Fallout: New Vegas - Dead Money Review","Very Good","6"
"X360","Fight Night Champion Review","Super","8"
"PS3","Fight Night Champion Review","Super","8"
"PS3","PixelJunk Shooter Review","Super","8"
"PC","Gray Matter Review","Great","7"
"X360","Gray Matter Review","Very Good","6"
"PS3","Knights Contract Review","Very Good","6"
"X360","Knights Contract Review","Very Good","6"
"PSP","Gods Eater Burst Review","Great","7"
"DS","de Blob 2 Review","Great","7"
"WII","de Blob 2 Review","Great","7"
"PS3","de Blob 2 Review","Great","7"
"X360","de Blob 2 Review","Great","7"
"PC","Fallout: New Vegas - Dead Money Review","Very Good","6"
"PS3","Bulletstorm Review","Super","8"
"X360","Bulletstorm Review","Super","8"
"PC","Bulletstorm Review","Super","8"
"DS","Radiant Historia Review","Super","8"
"PS3","Trinity: Souls of Zill O'll Review","Very Good","6"
"PS3","Tales from Space: About a Blob Review","Very Good","6"
"PSP","Lord of Arcana Review","Fair","4"
"X360","TNT Racers Review","Great","7"
"X360","Test Drive Unlimited 2 Review","Great","7"
"X360","Marvel vs. Capcom 3: Fate of Two Worlds Review","Super","8"
"PS3","Marvel vs. Capcom 3: Fate of Two Worlds Review","Super","8"
"X360","Hard Corps: Uprising Review","Great","7"
"PS3","Explodemon Review","Great","7"
"X360","Body and Brain Connection Review","Very Good","6"
"PSP","Tactics Ogre Review","Excellent","9"
"PC","You Don't Know Jack (2011) Review","Great","7"
"WII","You Don't Know Jack Review","Super","8"
"PS3","You Don't Know Jack Review","Super","8"
"X360","You Don't Know Jack Review","Super","8"
"PS3","Stacking Review","Super","8"
"X360","Stacking Review","Super","8"
"WII","Mario Sports Mix Review","Fair","4"
"DS","Naruto Shippuden: Shinobi Rumble Review","Fair","4"
"PC","Dungeons Review","Good","5"
"PS3","Bionic Commando Rearmed 2 Review","Good","5"
"X360","Bionic Commando Rearmed 2 Review","Good","5"
"PC","Majesty 2: Monster Kingdom Review","Great","7"
"PS3","Killzone 3 Review","Super","8"
"PS3","Two Worlds II Review","Great","7"
"PC","Jolly Rover Review","Great","7"
"PC","Two Worlds II Review","Great","7"
"X360","Two Worlds II Review","Great","7"
"PC","Magicka Review","Great","7"
"PC","Breach Review","Very Good","6"
"X360","Breach Review","Very Good","6"
"PC","Monday Night Combat Review","Super","8"
"PC","Emergency 2012 Review","Fair","4"
"X360","Monday Night Combat Review","Super","8"
"PC","Venetica Review","Very Good","6"
"PC","Dead Space 2 Review","Super","8"
"X360","Mindjack Review","Good","5"
"PS3","Mindjack Review","Good","5"
"PS3","Venetica Review","Good","5"
"X360","Venetica Review","Good","5"
"PS3","Spare Parts Review","Fair","4"
"X360","Spare Parts Review","Fair","4"
"PC","DC Universe Online Review","Great","7"
"PS3","Dead Space 2 Review","Excellent","9"
"PS3","DC Universe Online Review","Great","7"
"WII","Fluidity Review","Super","8"
"X360","Dead Space 2 Review","Super","8"
"PS3","Modern Combat: Domination Review","Great","7"
"X360","Zeit 2 Review","Super","8"
"PC","Zeit 2 Review","Super","8"
"DS","Plants vs. Zombies Review","Super","8"
"PC","Create Review","Very Good","6"
"X360","Create Review","Very Good","6"
"WII","Create Review","Good","5"
"PS3","Mass Effect 2 Review","Super","8"
"PS3","Little Big Planet 2 Review","Excellent","9"
"PSP","Prinny 2: Dawn of Operation Panties, Dood! Review","Very Good","6"
"PS3","Tetris Review","Great","7"
"DS","Kingdom Hearts Re:coded Review","Very Good","6"
"DS","Ghost Trick: Phantom Detective Review","Excellent","9"
"WII","Lost in Shadow Review","Great","7"
"PS3","MicroBot Review","Very Good","6"
"X360","MicroBot Review","Very Good","6"
"X360","BioShock 2: Minerva's Den Review","Super","8"
"PS3","BioShock 2: Minerva's Den Review","Super","8"
"X360","Ilomilo Review","Great","7"
"X360","A World of Keflings Review","Great","7"
"X360","Fallout: New Vegas - Dead Money Review","Very Good","6"
"PC","Back to the Future: The Game - Episode I Review","Great","7"
"X360","Dead Rising 2: Case West Review","Great","7"
"X360","Raskulls Review","Very Good","6"
"PS3","Echochrome II Review","Great","7"
"WII","The Deadliest Catch: Sea of Chaos Review","Bad","3"
"PS3","The Deadliest Catch: Sea of Chaos Review","Bad","3"
"X360","The Deadliest Catch: Sea of Chaos Review","Bad","3"
"PS3","Eat Them Review","Very Good","6"
"X360","Battlefield: Bad Company 2 Vietnam Review","Super","8"
"PC","Battlefield: Bad Company 2 Vietnam Review","Super","8"
"DS","Rock Band 3 Review","Great","7"
"WII","Def Jam Rapstar Review","Very Good","6"
"PC","World of Warcraft: Cataclysm Review","Super","8"
"X360","Bomberman Live: Battlefest Review","Very Good","6"
"X360","Star Wars: The Force Unleashed II: Endor Bonus Mission Review","Very Good","6"
"PS3","Funky Lab Rat Review","Very Good","6"
"WII","Pictionary Review","Very Good","6"
"PC","The Sims 3: Late Night Expansion Pack Review","Great","7"
"X360","Tron: Evolution Review","Great","7"
"PS3","Tron: Evolution Review","Great","7"
"PS3","Kung-Fu Live Review","Fair","4"
"WII","Raving Rabbids: Travel in Time Review","Very Good","6"
"WII","Michael Jackson: The Experience Review","Very Good","6"
"PC","Super Meat Boy Review","Excellent","9"
"X360","Adrenalin Misfits Review","Good","5"
"PC","Bejeweled 3 Review","Great","7"
"PSP","Ys: The Oath in Felghana Review","Great","7"
"X360","Unbound Saga Review","Fair","4"
"PC","Majesty 2: Battles of Ardania Review","Fair","4"
"X360","Cabela's Dangerous Hunts 2011 Review","Very Good","6"
"WII","Cabela's Dangerous Hunts 2011 Review","Very Good","6"
"PS3","Cabela's Dangerous Hunts 2011 Review","Very Good","6"
"DS","Nine Hours, Nine Persons, Nine Doors Review","Super","8"
"PS3","PDC World Championship Darts Pro Tour Review","Great","7"
"DS","Golden Sun: Dark Dawn Review","Great","7"
"PS3","Nail'd Review","Good","5"
"X360","Nail'd Review","Good","5"
"PC","Dead Rising 2 Review","Super","8"
"DS","Call of Duty: Black Ops Review","Super","8"
"PS3","Dead Nation Review","Great","7"
"X360","Get Fit with Mel B Review","Good","5"
"WII","Disney Epic Mickey Review","Very Good","6"
"PC","Mafia II: Joe's Adventures Review","Very Good","6"
"X360","Mafia II: Joe's Adventures Review","Very Good","6"
"PS3","Gran Turismo 5 Review","Super","8"
"WII","HAWX 2 Review","Bad","3"
"WII","Naruto Shippuden: Dragon Blade Chronicles Review","Bad","3"
"X360","Splatterhouse Review","Fair","4"
"PS3","Splatterhouse Review","Fair","4"
"PSP","EyePet Review","Good","5"
"PS3","Pac-Man Championship Edition DX Review","Excellent","9"
"X360","Deca Sports Freedom Review","Bad","3"
"X360","Majin and the Forsaken Kingdom Review","Great","7"
"PS3","Majin and the Forsaken Kingdom Review","Great","7"
"WII","Donkey Kong Country Returns Review","Super","8"
"DS","Sonic Colours Review","Super","8"
"PS3","Apache: Air Assault Review","Great","7"
"X360","Apache: Air Assault Review","Great","7"
"X360","Pac-Man Championship Edition DX Review","Excellent","9"
"WII","Tom Clancy's Ghost Recon Review","Very Good","6"
"X360","Harry Potter and the Deathly Hallows Part 1 Review","Good","5"
"PS3","Harry Potter and the Deathly Hallows Part 1 Review","Good","5"
"X360","Dance Paradise Review","Great","7"
"PS3","NBA Jam Review","Great","7"
"X360","NBA Jam Review","Great","7"
"X360","MotionSports Review","Bad","3"
"X360","Need for Speed: Hot Pursuit Review","Super","8"
"PS3","Need for Speed: Hot Pursuit Review","Super","8"
"X360","Monopoly Streets Review","Very Good","6"
"PS3","Monopoly Streets Review","Very Good","6"
"WII","Monopoly Streets Review","Very Good","6"
"PSP","Split/Second Review","Very Good","6"
"X360","DanceMasters Review","Very Good","6"
"PS3","Assassin's Creed: Brotherhood Review","Super","8"
"X360","Assassin's Creed: Brotherhood Review","Super","8"
"X360","The UnderGarden Review","Super","8"
"PC","The Ball Review","Good","5"
"X360","Faery: Legends of Avalon Review","Fair","4"
"WII","FlingSmash Review","Fair","4"
"WII","Sonic Colors Review","Super","8"
"DS","Mario vs. Donkey Kong: Mini-Land Mayhem Review","Super","8"
"X360","Fighters Uncaged Review","Very Bad","2"
"PC","Football Manager 2011 Review","Super","8"
"WII","Call of Duty: Black Ops Review","Excellent","9"
"PS3","Hoard Review","Great","7"
"X360","Sonic Free Riders Review","Fair","4"
"PS3","Call of Duty: Black Ops Review","Excellent","9"
"X360","Call of Duty: Black Ops Review","Excellent","9"
"PC","Call of Duty: Black Ops Review","Excellent","9"
"X360","Kinect Adventures! Review","Great","7"
"X360","Your Shape: Fitness Evolved Review","Great","7"
"X360","Dragon Ball: Raging Blast 2 Review","Good","5"
"PS3","Dragon Ball: Raging Blast 2 Review","Good","5"
"X360","Bloody Good Time Review","Very Good","6"
"PS3","The Fight: Lights Out Review","Good","5"
"WII","GoldenEye 007 Review","Super","8"
"X360","Dance Central Review","Super","8"
"X360","Pinball FX 2 Review","Super","8"
"WII","Pro Evolution Soccer 2011 Review","Great","7"
"X360","Kinectimals Review","Great","7"
"X360","Kinect Sports Review","Great","7"
"X360","Haunted House Review","Good","5"
"PC","James Bond 007: Blood Stone Review","Great","7"
"PS3","Dead Space Ignition Review","Fair","4"
"PS3","James Bond 007: Blood Stone Review","Great","7"
"X360","James Bond 007: Blood Stone Review","Great","7"
"X360","Lucha Libre AAA: Heroes del Ring Review","Good","5"
"PS3","Lucha Libre AAA: Heroes del Ring Review","Good","5"
"PSP","Invizimals Review","Very Good","6"
"X360","Dead Space Ignition Review","Fair","4"
"WII","Star Wars: The Force Unleashed II Review","Great","7"
"PS3","WWE SmackDown vs. Raw 2011 Review","Great","7"
"X360","WWE SmackDown vs. Raw 2011 Review","Great","7"
"PSP","Dragon Ball Z: Tenkaichi Tag Team Review","Very Good","6"
"PSP","God of War: Ghost of Sparta Review","Super","8"
"PS3","TV Superstars Review","Very Good","6"
"X360","Shaun White Skateboarding Review","Very Good","6"
"X360","Red Dead Redemption: Undead Nightmare Pack Review","Super","8"
"PS3","The Shoot Review","Very Good","6"
"PC","Star Wars: The Force Unleashed II Review","Good","5"
"X360","Rock Band 3 Review","Excellent","9"
"X360","Naruto Shippuden: Ultimate Ninja Storm 2 Review","Great","7"
"PS3","Naruto Shippuden: Ultimate Ninja Storm 2 Review","Great","7"
"X360","Fable III Review","Great","7"
"X360","Star Wars: The Force Unleashed II Review","Very Good","6"
"PS3","Star Wars: The Force Unleashed II Review","Very Good","6"
"PS3","Time Crisis: Razing Storm Review","Very Good","6"
"WII","Just Dance 2 Review","Great","7"
"X360","The Sims 3 Review","Great","7"
"PS3","The Sims 3 Review","Great","7"
"X360","DJ Hero 2 Review","Super","8"
"PC","Lionheart: Kings' Crusade Review","Great","7"
"PS3","John Daly's ProStroke Golf Review","Very Good","6"
"PC","Fallout: New Vegas Review","Super","8"
"X360","Costume Quest Review","Great","7"
"PS3","Costume Quest Review","Great","7"
"X360","EA Sports MMA Review","Great","7"
"PS3","EA Sports MMA Review","Great","7"
"PS3","Sengoku Basara: Samurai Heroes Review","Fair","4"
"WII","Sengoku Basara: Samurai Heroes Review","Fair","4"
"X360","Super Meat Boy Review","Excellent","9"
"PS3","Fallout: New Vegas Review","Great","7"
"X360","Fallout: New Vegas Review","Great","7"
"PC","Lost Planet 2 Review","Great","7"
"X360","Vanquish Review","Excellent","9"
"PS3","Vanquish Review","Excellent","9"
"WII","FIFA 11 Review","Great","7"
"PS3","Atelier Rorona: The Alchemist of Arland Review","Very Good","6"
"X360","Arcania: Gothic 4 Review","Good","5"
"PS3","Sonic the Hedgehog 4: Episode 1 Review","Very Good","6"
"X360","Sonic the Hedgehog 4: Episode 1 Review","Very Good","6"
"WII","Kirby's Epic Yarn Review","Super","8"
"DS","Final Fantasy: The 4 Heroes of Light Review","Great","7"
"DS","Super Scribblenauts Review","Very Good","6"
"PC","Medal of Honor Review","Great","7"
"PS3","Medal of Honor Review","Great","7"
"X360","Medal of Honor Review","Great","7"
"X360","WRC: FIA World Rally Championship Review","Very Good","6"
"PS3","WRC: FIA World Rally Championship Review","Very Good","6"
"WII","Sid Meier's Pirates! Review","Very Good","6"
"WII","MySims SkyHeroes Review","Fair","4"
"X360","Serious Sam HD: The Second Encounter Review","Great","7"
"WII","EA Sports NBA Jam Review","Great","7"
"PS3","Def Jam Rapstar Review","Great","7"
"X360","Def Jam Rapstar Review","Great","7"
"X360","MorphX Review","Fair","4"
"X360","MySims SkyHeroes Review","Fair","4"
"PS3","MySims SkyHeroes Review","Fair","4"
"X360","Quantum Theory Review","Fair","4"
"X360","Toy Soldiers: Invasion Review","Super","8"
"PC","Final Fantasy XIV Online Review","Fair","4"
"X360","NBA 2K11 Review","Super","8"
"PS3","NBA 2K11 Review","Super","8"
"PC","Patrician IV Review","Very Good","6"
"PS3","Swords & Soldiers Review","Super","8"
"X360","Front Mission Evolved Review","Good","5"
"PS3","Front Mission Evolved Review","Good","5"
"X360","Pro Evolution Soccer 2011 Review","Super","8"
"PS3","Pro Evolution Soccer 2011 Review","Super","8"
"X360","Comic Jumper Review","Super","8"
"PS3","Brunswick Pro Bowling Review","Good","5"
"X360","Guitar Hero: Warriors of Rock Review","Great","7"
"WII","Wii Party Review","Super","8"
"X360","Blade Kitten Review","Good","5"
"PC","Blade Kitten Review","Fair","4"
"PS3","FIFA 11 Review","Excellent","9"
"X360","FIFA 11 Review","Excellent","9"
"PSP","Phantasy Star Portable 2 Review","Great","7"
"X360","Enslaved: Odyssey to the West Review","Super","8"
"DS","Etrian Odyssey III: The Drowned City Review","Great","7"
"PC","Amnesia: The Dark Descent Review","Super","8"
"PC","Lara Croft and the Guardian of Light Review","Super","8"
"PS3","Lara Croft and the Guardian of Light Review","Super","8"
"WII","Samurai Warriors 3 Review","Fair","4"
"PS3","Flight Control HD Review","Super","8"
"X360","Borderlands: Claptrap's New Robot Revolution Review","Great","7"
"X360","Castlevania: Lords of Shadow Review","Great","7"
"PS3","Castlevania: Lords of Shadow Review","Great","7"
"PSP","Gladiator Begins Review","Very Good","6"
"PC","Darksiders Review","Super","8"
"PS3","Blade Kitten Review","Good","5"
